CODE;SUBCODE;X;Y;Z;RFLNAAM;DIJKPAAL;Afstand Profielpunten
999;999;159877.14244;424253.72768;5.405700;AD642M50;;
999;999;159877.26311;424254.72037;5.487500;AD642M50;;
999;999;159877.38378;424255.71307;5.510000;AD642M50;;
999;999;159877.50445;424256.70576;5.541800;AD642M50;;
999;999;159877.62511;424257.69845;5.551100;AD642M50;;
999;999;159877.74578;424258.69115;5.460200;AD642M50;;
999;999;159877.86645;424259.68384;5.633800;AD642M50;;
999;999;159877.98711;424260.67653;5.689200;AD642M50;;
999;999;159878.10778;424261.66922;5.902600;AD642M50;;
999;999;159878.22845;424262.66192;6.162300;AD642M50;;
999;999;159878.34911;424263.65461;6.725700;AD642M50;;
999;999;159878.46978;424264.64730;7.349600;AD642M50;;
999;999;159878.59045;424265.64000;8.123700;AD642M50;;
999;999;159878.71111;424266.63269;8.535100;AD642M50;;
999;999;159878.83178;424267.62538;8.750000;AD642M50;;
999;999;159878.95245;424268.61808;8.843200;AD642M50;;
999;999;159879.07311;424269.61077;8.850900;AD642M50;;
999;999;159879.19378;424270.60346;8.904200;AD642M50;;
999;999;159879.31445;424271.59615;8.944700;AD642M50;;
999;999;159879.43511;424272.58885;8.979200;AD642M50;;
999;999;159879.55578;424273.58154;9.004000;AD642M50;;
999;999;159879.67645;424274.57423;8.979300;AD642M50;;
999;999;159879.79712;424275.56693;8.963000;AD642M50;;
999;999;159879.91778;424276.55962;8.936100;AD642M50;;
999;999;159880.03845;424277.55231;8.880000;AD642M50;;
999;999;159880.15912;424278.54501;8.897200;AD642M50;;
999;999;159880.27978;424279.53770;8.849000;AD642M50;;
999;999;159880.40045;424280.53039;8.660000;AD642M50;;
999;999;159880.52112;424281.52309;8.324400;AD642M50;;
999;999;159880.64178;424282.51578;8.963200;AD642M50;;
999;999;159880.76245;424283.50847;9.080000;AD642M50;;
999;999;159880.88312;424284.50116;9.092900;AD642M50;;
999;999;159881.00378;424285.49386;9.118500;AD642M50;;
999;999;159881.12445;424286.48655;9.104800;AD642M50;;
999;999;159881.24512;424287.47924;9.101100;AD642M50;;
999;999;159881.36578;424288.47194;9.132500;AD642M50;;
999;999;159881.48645;424289.46463;9.138900;AD642M50;;
999;999;159881.60712;424290.45732;9.127000;AD642M50;;
999;999;159881.72779;424291.45002;9.138500;AD642M50;;
999;999;159881.84845;424292.44271;9.154100;AD642M50;;
999;999;159881.96912;424293.43540;9.109900;AD642M50;;
999;999;159882.08979;424294.42810;9.137800;AD642M50;;
999;999;159882.21045;424295.42079;9.138800;AD642M50;;
999;999;159882.33112;424296.41348;9.150000;AD642M50;;
