CODE;SUBCODE;X;Y;Z;RFLNAAM
99;999;75430.01;437358.56;0;RB0.03
99;999;75429.6;437358.28;0;RB0.03
99;999;75429.18;437358;0;RB0.03
99;999;75428.77;437357.71;0;RB0.03
99;999;75428.36;437357.43;0;RB0.03
99;999;75427.94;437357.15;0.59;RB0.03
99;999;75427.53;437356.87;0.59;RB0.03
99;999;75427.12;437356.59;0;RB0.03
99;999;75426.7;437356.31;0;RB0.03
99;999;75426.29;437356.02;0.64;RB0.03
99;999;75425.88;437355.74;0;RB0.03
99;999;75425.47;437355.46;0;RB0.03
99;999;75425.05;437355.18;0;RB0.03
99;999;75424.64;437354.9;0;RB0.03
99;999;75424.23;437354.62;0;RB0.03
99;999;75423.81;437354.33;0;RB0.03
99;999;75423.4;437354.05;0;RB0.03
99;999;75422.99;437353.77;0.63;RB0.03
99;999;75422.57;437353.49;0.62;RB0.03
99;999;75422.16;437353.21;0.62;RB0.03
99;999;75421.75;437352.92;0.63;RB0.03
99;999;75421.34;437352.64;0.63;RB0.03
99;999;75420.92;437352.36;0.61;RB0.03
99;999;75420.51;437352.08;0.6;RB0.03
99;999;75420.1;437351.8;0.59;RB0.03
99;999;75419.68;437351.52;0.61;RB0.03
99;999;75419.27;437351.23;0.62;RB0.03
99;999;75418.86;437350.95;0.62;RB0.03
99;999;75418.44;437350.67;0.63;RB0.03
99;999;75418.03;437350.39;0.62;RB0.03
99;999;75417.62;437350.11;0.62;RB0.03
99;999;75417.21;437349.82;0.62;RB0.03
99;999;75416.79;437349.54;0.62;RB0.03
99;999;75416.38;437349.26;0.62;RB0.03
99;999;75415.97;437348.98;0;RB0.03
99;999;75415.55;437348.7;0.61;RB0.03
99;999;75415.14;437348.42;0.64;RB0.03
99;999;75414.73;437348.13;0.62;RB0.03
99;999;75414.31;437347.85;0.62;RB0.03
99;999;75413.9;437347.57;0;RB0.03
99;999;75413.49;437347.29;0;RB0.03
99;999;75413.08;437347.01;0.64;RB0.03
99;999;75412.66;437346.72;0.64;RB0.03
99;999;75412.25;437346.44;0.62;RB0.03
99;999;75411.84;437346.16;0.63;RB0.03
99;999;75411.42;437345.88;0.64;RB0.03
99;999;75411.01;437345.6;0.64;RB0.03
99;999;75410.6;437345.32;0.67;RB0.03
99;999;75410.18;437345.03;0.64;RB0.03
99;999;75409.77;437344.75;0.64;RB0.03
99;999;75409.36;437344.47;0.63;RB0.03
99;999;75408.95;437344.19;0.58;RB0.03
99;999;75408.53;437343.91;0.61;RB0.03
99;999;75408.12;437343.62;0.62;RB0.03
99;999;75407.71;437343.34;0.63;RB0.03
99;999;75407.29;437343.06;0.64;RB0.03
99;999;75406.88;437342.78;0.63;RB0.03
99;999;75406.47;437342.5;0;RB0.03
99;999;75406.05;437342.22;0.63;RB0.03
99;999;75405.64;437341.93;0.61;RB0.03
99;999;75405.23;437341.65;0.61;RB0.03
99;999;75404.82;437341.37;0.62;RB0.03
99;999;75404.4;437341.09;0.62;RB0.03
99;999;75403.99;437340.81;0.63;RB0.03
99;999;75403.58;437340.52;0.63;RB0.03
99;999;75403.16;437340.24;0.61;RB0.03
99;999;75402.75;437339.96;0.61;RB0.03
99;999;75402.34;437339.68;0.62;RB0.03
99;999;75401.92;437339.4;0.62;RB0.03
99;999;75401.51;437339.12;0.62;RB0.03
99;999;75401.1;437338.83;0.62;RB0.03
99;999;75400.68;437338.55;0.6;RB0.03
99;999;75400.27;437338.27;0.6;RB0.03
99;999;75399.86;437337.99;0.62;RB0.03
99;999;75399.45;437337.71;0.61;RB0.03
99;999;75399.03;437337.42;0.61;RB0.03
99;999;75398.62;437337.14;0.63;RB0.03
99;999;75398.21;437336.86;0.63;RB0.03
99;999;75397.79;437336.58;0.63;RB0.03
99;999;75397.38;437336.3;0.61;RB0.03
99;999;75396.97;437336.02;0.63;RB0.03
99;999;75396.55;437335.73;0.63;RB0.03
99;999;75396.14;437335.45;0.63;RB0.03
99;999;75395.73;437335.17;0.64;RB0.03
99;999;75395.32;437334.89;0.63;RB0.03
99;999;75394.9;437334.61;0.64;RB0.03
99;999;75394.49;437334.32;0.64;RB0.03
99;999;75394.08;437334.04;0.63;RB0.03
99;999;75393.66;437333.76;0.65;RB0.03
99;999;75393.25;437333.48;0.65;RB0.03
99;999;75392.84;437333.2;0.64;RB0.03
99;999;75392.42;437332.92;0.63;RB0.03
99;999;75392.01;437332.63;0.62;RB0.03
99;999;75391.6;437332.35;0.62;RB0.03
99;999;75391.19;437332.07;0.61;RB0.03
99;999;75390.77;437331.79;0.61;RB0.03
99;999;75390.36;437331.51;0.61;RB0.03
99;999;75389.95;437331.22;0.6;RB0.03
99;999;75389.53;437330.94;0.62;RB0.03
99;999;75389.12;437330.66;0.61;RB0.03
99;999;75388.71;437330.38;0.63;RB0.03
99;999;75388.29;437330.1;0.63;RB0.03
99;999;75387.88;437329.82;0.61;RB0.03
99;999;75387.47;437329.53;0.62;RB0.03
99;999;75387.06;437329.25;0.64;RB0.03
